(job_title, location) pair counts
Source: data\structured_jobs_20.05_normalized_cleaned.jsonl
Total records: 7635
Unique pairs:  404
---------------------------------------------------------------------------
 Count  Job Title                                 Location
---------------------------------------------------------------------------
   374  Software Engineer / Developer             Zurich
   299  System Engineer                           Zurich
   208  IT Support / Helpdesk                     Zurich
   187  System Engineer                           Bern
   186  IT Manager / Team Lead                    Zurich
   152  Software Engineer / Developer             Bern
   152  IT Support / Helpdesk                     Bern
   131  Data Engineer / Analyst                   Zurich
   122  IT Project Manager                        Zurich
   106  Business Analyst                          Zurich
   104  SAP Consultant                            Multiple Cantons
   103  System Engineer                           Aargau
   102  Cybersecurity Specialist                  Zurich
    94  SAP Consultant                            Zurich
    93  IT Manager / Team Lead                    Bern
    91  System Engineer                           Lucerne
    87  IT Support / Helpdesk                     Aargau
    85  Software Engineer / Developer             Aargau
    83  Others                                    Zurich
    82  IT Consultant                             Zurich
    80  Software Engineer / Developer             Vaud
    79  Business Analyst                          Bern
    76  IT Architect                              Zurich
    75  System Engineer                           Multiple Cantons
    74  IT Project Manager                        Bern
    72  System Administrator                      Zurich
    71  Cloud Engineer / Architect                Zurich
    67  Network Engineer                          Zurich
    66  DevOps / Platform Engineer                Zurich
    64  IT Support / Helpdesk                     Lucerne
    63  IT Manager / Team Lead                    Aargau
    63  Cybersecurity Specialist                  Bern
    62  System Engineer                           St. Gallen
    58  Software Engineer / Developer             St. Gallen
    58  System Administrator                      Bern
    48  Product Manager / Owner                   Zurich
    45  IT Manager / Team Lead                    Lucerne
    44  SAP Consultant                            Bern
    41  DevOps / Platform Engineer                Bern
    39  ERP Consultant                            Zurich
    39  QA / Test Engineer                        Zurich
    39  Software Engineer / Developer             Multiple Cantons
    38  IT Project Manager                        Aargau
    38  Software Engineer / Developer             Lucerne
    37  Abacus Specialist                         Zurich
    35  Software Engineer / Developer             Others
    35  Product Manager / Owner                   Bern
    35  Software Engineer / Developer             Valais
    34  IT Support / Helpdesk                     Vaud
    34  IT Consultant                             Bern
    32  System Engineer                           Zug
    32  Software Engineer / Developer             Zug
    32  Cloud Engineer / Architect                Bern
    32  System Engineer                           Others
    32  Others                                    Bern
    32  IT Manager / Team Lead                    Multiple Cantons
    31  IT Architect                              Bern
    31  IT Support / Helpdesk                     Basel-Stadt
    31  IT Manager / Team Lead                    Vaud
    31  QA / Test Engineer                        Bern
    30  IT Support / Helpdesk                     Solothurn
    29  Network Engineer                          Bern
    29  Cybersecurity Specialist                  Lucerne
    29  Data Engineer / Analyst                   Bern
    29  Abacus Specialist                         Lucerne
    28  System Engineer                           Basel-Stadt
    28  System Administrator                      Aargau
    27  Database Administrator                    Zurich
    27  SAP Consultant                            Aargau
    27  Software Engineer / Developer             Graubünden
    27  Cloud Engineer / Architect                Aargau
    27  Software Engineer / Developer             Basel-Stadt
    27  IT Support / Helpdesk                     St. Gallen
